artist_name,song_title,spotify_id,spotify_song,spotify_artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Tim McGraw,Top Of The World,4pdoeoOQSu6DNznlfNc5FP,Top Of The World,Tim McGraw,0.29,0.675,233973.0,0.791,0.0,8.0,0.485,-5.64,1.0,0.0383,141.217,4.0,0.943
Etta & Harvey,If I Can't Have You,0q5dt70CzhrvCvFziLrYah,If I Can't Have You,Etta James,0.672,0.465,170560.0,0.641,4.23e-06,0.0,0.316,-7.235,0.0,0.0489,108.208,1.0,0.586
The Rooftop Singers,Walk Right In,4WhT2YADjcU58IUgroWZQZ,Walk Right In,The Rooftop Singers,0.791,0.681,157267.0,0.66,0.0364,3.0,0.0669,-10.426,1.0,0.0319,130.019,4.0,0.965
Tim McGraw,Nothin' To Die For,3lRSz6HujrSy9b3LXg2Kq9,Nothin' To Die For,Tim McGraw,0.0538,0.481,253640.0,0.786,0.0,10.0,0.0759,-5.654,1.0,0.0288,153.105,4.0,0.389
Tim McGraw,Suspicions,35bEmBJLZeCeNERYl6t4FU,Suspicions,Tim McGraw,0.327,0.599,316973.0,0.733,0.0,0.0,0.091,-6.182,0.0,0.0299,147.305,4.0,0.798
Tim McGraw With Faith Hill,I Need You,4Mk1pZh5JmEyhDU8bHerkR,I Need You (In the Style of Tim McGraw & Faith Hill) [Performance Track with Demonstration Vocals],Done Again,0.365,0.532,244297.0,0.434,0.0166,4.0,0.114,-12.471,1.0,0.0333,79.648,3.0,0.336
The Zombies,Time Of The Season,5AJrhrwz4oSZX2PwwV4qrN,Time of the Season - Mono Version,The Zombies,0.142,0.537,214027.0,0.7,1.58e-06,4.0,0.383,-6.852,0.0,0.0366,117.111,4.0,0.695
Rick Ross Featuring Young Thug & Wale,Trap Trap Trap,1KZ0Xo6Mmeprp1Sw5xCHYz,Trap Trap Trap (feat. Young Thug & Wale),Rick Ross,0.00612,0.729,275720.0,0.838,0.0,8.0,0.0721,-4.476,0.0,0.313,136.869,4.0,0.349
Godsmack,Straight Out Of Line,0bKZa2zldftYPRrSRscmG2,Straight Out Of Line,Godsmack,0.000184,0.245,259133.0,0.96,0.00268,7.0,0.0718,-4.719,1.0,0.175,184.042,1.0,0.372
Drake,Free Smoke,05KOgYg8PGeJyyWBPi5ja8,Free Smoke,Drake,0.0681,0.736,218674.0,0.491,0.0,10.0,0.571,-6.892,0.0,0.439,141.979,4.0,0.203
Drake Featuring Young Thug,Ice Melts,7bJ4mu7MHa3rHiNyKjOoSl,Ice Melts,Drake,0.08,0.813,250770.0,0.551,0.0,6.0,0.386,-7.605,0.0,0.353,124.957,4.0,0.598
Drake Featuring Quavo & Travis Scott,Portland,2bjwRfXMk4uRgOD9IBYl9h,Portland,Drake,0.0172,0.925,236615.0,0.443,0.0,1.0,0.276,-8.216,1.0,0.264,136.078,4.0,0.35
Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,Passionfruit,Drake,0.256,0.809,298941.0,0.463,0.085,11.0,0.109,-11.377,1.0,0.0396,111.98,4.0,0.364
Drake,Can't Have Everything,5f5r2N4Lp9WoULWPH9zp2W,Can't Have Everything,Drake,0.0136,0.856,228438.0,0.572,1.55e-06,1.0,0.121,-8.429,1.0,0.373,82.445,4.0,0.454
Drake,Nothings Into Somethings,6MbH1QiphMCPTqVEVC7UYi,Nothings Into Somethings,Drake,0.332,0.766,153725.0,0.234,0.00156,11.0,0.358,-7.544,0.0,0.159,96.882,4.0,0.256
Drake,Lose You,2Na0z2gfN67Rzf0vp74Wi3,Lose You,Drake,0.699,0.526,305374.0,0.583,0.0,4.0,0.372,-9.172,1.0,0.376,89.837,4.0,0.378
Drake Featuring Giggs,No Long Talk,6CfrYuD3YRDYdYvH9jNtXY,No Long Talk,Drake,0.0671,0.913,149569.0,0.608,0.0,10.0,0.533,-6.839,0.0,0.234,97.063,4.0,0.578
Drake Featuring Jorja Smith & Black Coffee,Get It Together,7y6c07pgjZvtHI9kuMVqk1,Get It Together,Drake,0.0945,0.781,250337.0,0.721,0.391,5.0,0.104,-9.133,0.0,0.0514,123.011,4.0,0.849
Drake,Blem,2XlHu0HcujBCkWMdIAvrqt,Blem,Drake,0.0533,0.726,216558.0,0.535,1.38e-05,7.0,0.0984,-7.804,0.0,0.0476,98.067,4.0,0.375
Drake Featuring Sampha,4422,2fkeWbM6iqTw7oGHTYm2lw,4422,Drake,0.558,0.609,186293.0,0.229,0.0413,11.0,0.113,-12.36,0.0,0.0333,111.887,4.0,0.19
Drake,Do Not Disturb,2KvHC9z14GSl4YpkNMX384,Do Not Disturb,Drake,0.246,0.618,283551.0,0.693,0.0,7.0,0.112,-5.943,0.0,0.45,170.982,4.0,0.454
Drake Featuring PARTYNEXTDOOR,Since Way Back,5JUu0unA8VwhTZ9LkMWUVI,Since Way Back,Drake,0.348,0.468,368036.0,0.266,9.55e-06,0.0,0.209,-11.121,1.0,0.13,153.294,4.0,0.222
Drake Featuring 2 Chainz & Young Thug,Sacrifices,0xl1w2q4VLojeXp4JfazPL,Sacrifices,Drake,0.0407,0.903,307593.0,0.439,0.0,8.0,0.138,-11.813,1.0,0.397,139.112,4.0,0.532
Drake,Madiba Riddim,76gUmNLXGQVOsGhfcshkFP,Madiba Riddim,Drake,0.245,0.839,205163.0,0.521,0.00545,7.0,0.607,-10.45,1.0,0.166,105.992,4.0,0.33
Drake,Fake Love,343YBumqHu19cGoGARUTsd,Fake Love,Drake,0.105,0.928,210937.0,0.481,0.0,9.0,0.176,-9.35,0.0,0.287,134.007,4.0,0.613
Drake,Skepta Interlude,2dfqS3MRtbLZSZA1IL8xY5,Skepta Interlude,Drake,0.0103,0.745,143214.0,0.822,4.2e-06,7.0,0.155,-6.354,1.0,0.252,86.733,5.0,0.415
Drake,Teenage Fever,6n3HGiq4v35D6eFOSwqYuo,Teenage Fever,Drake,0.111,0.766,219692.0,0.283,0.0172,8.0,0.115,-10.33,0.0,0.0846,97.04,4.0,0.144
Drake Featuring Giggs,KMT,2jTujnt0y344ai1rNOywgr,KMT,Drake,0.0189,0.875,162638.0,0.6,0.0143,1.0,0.132,-6.818,1.0,0.0435,119.987,4.0,0.0906
Drake Featuring Kanye West,Glow,28irpKCCK9nn9DZSik2zEx,Glow,Drake,0.2,0.688,206120.0,0.384,0.0,9.0,0.708,-8.824,0.0,0.375,162.098,4.0,0.432
Billy Joel,Allentown,59xhCcRskqyMtKzdvLZDfV,Allentown,Billy Joel,0.127,0.69,230160.0,0.837,7.2e-06,7.0,0.102,-8.312,1.0,0.0289,113.817,4.0,0.967
George Harrison,All Those Years Ago,32fKHW6Eac4yBXn9WY7Aic,All Those Years Ago - Remastered 2004,George Harrison,0.137,0.555,227320.0,0.639,1.99e-05,2.0,0.0733,-6.832,1.0,0.033,125.77,4.0,0.518
George Harrison,When We Was Fab,6fAADiK2jnjdm5QRI7hSYc,When We Was Fab - Remastered 2004,George Harrison,0.59,0.507,239853.0,0.6,0.00408,5.0,0.291,-9.088,1.0,0.0236,92.416,4.0,0.387
George Harrison,Got My Mind Set On You,3OeUlriM0EZHdWleJtjoVr,Got My Mind Set On You - Remastered 2004,George Harrison,0.465,0.767,234653.0,0.854,2.03e-06,4.0,0.485,-6.947,1.0,0.0426,149.206,4.0,0.963
George Harrison,Blow Away,67F9MFQj4YZG2i0V0HCMUs,Blow Away - Remastered 2004,George Harrison,0.303,0.643,240680.0,0.633,0.0,2.0,0.119,-8.788,1.0,0.0316,115.246,4.0,0.228
George Harrison,Give Me Love - (Give Me Peace On Earth),2PVn5g7MkWP91M6mO6MD6F,"Give Me Love (Give Me Peace On Earth) - Live In Japan, 1991 / 2004 Mix",George Harrison,0.706,0.4,217153.0,0.47,1.09e-06,5.0,0.93,-12.105,1.0,0.0287,80.91,4.0,0.423
Zayn Featuring PARTYNEXTDOOR,Still Got Time,000xQL6tZNLJzIrtIgxqSl,Still Got Time (feat. PARTYNEXTDOOR),ZAYN,0.131,0.748,188491.0,0.627,0.0,7.0,0.0852,-6.029,1.0,0.0639,120.963,4.0,0.524
Mike WiLL Made-It x Rihanna,Nothing Is Promised,4MdQkwmoI9lrUfHGD7wOzy,Nothing Is Promised (with Rihanna),Mike WiLL Made-It,0.0108,0.735,170752.0,0.494,1.05e-06,8.0,0.108,-7.607,0.0,0.115,135.159,4.0,0.143
Trey Songz,Nobody Else But You,1HOUzEsetdIPSpAgRPhZQt,Nobody Else but You,Trey Songz,0.0381,0.708,229013.0,0.612,0.0,5.0,0.277,-6.379,0.0,0.122,139.913,4.0,0.263
Idris Muhammad,Could Heaven Ever Be Like This (Part 1),1xkOg49ZxldiM1ioIudwUS,Could Heaven Ever Be Like This,Idris Muhammad,0.388,0.755,516587.0,0.842,0.541,2.0,0.105,-7.293,0.0,0.129,123.203,4.0,0.798
